"Week","French topic","Main content"
"1","Les expressions de salutation — Greetings","Bonjour, bonsoir, bonne nuit, salut, ça va ?, comment vas-tu ?, comment allez-vous ?, au revoir, à demain, à tout à l’heure."
"2","Épeler les mots — Spelling words","Asking and giving spelling: Comment ça s’écrit ? Épelle, s’il te plaît. Épelez, s’il vous plaît. The French alphabet."
"3","Se présenter — Introducing oneself","Name, surname, first name, nationality, address, and languages spoken: Comment t’appelles-tu ? Quel est ton nom ? Quelle est ta nationalité ?"
"4","Les nombres de 0 à 20 — Numbers","Counting and using numbers in simple expressions; stating age: J’ai onze ans."
"5","Les nombres de 21 à 100","Counting, writing, reading, and using larger numbers in prices, ages, telephone numbers, and quantities."
"6","Les jours de la semaine — Days of the week","Lundi, mardi, mercredi, jeudi, vendredi, samedi, dimanche. Asking and answering: Quel jour sommes-nous ?"
"7","Les mois de l’année — Months of the year","Janvier, février, mars, avril, mai, juin, juillet, août, septembre, octobre, novembre, décembre."
"8","La date — The date","Asking and stating the date: Quelle est la date aujourd’hui ? Nous sommes le…"
"9","Les couleurs — Colours","Rouge, bleu, jaune, vert, noir, blanc, orange, rose, violet, marron, gris. Describing objects using colours."
"10","Les objets de la classe — Classroom objects","Un livre, un cahier, un stylo, un crayon, une règle, une gomme, une table, une chaise, un tableau, un sac."
"11","Révision générale","Revision of greetings, spelling, introductions, numbers, days, months, dates, colours, and classroom vocabulary."
"12","Évaluation du premier trimestre","Written, oral, reading, spelling, and vocabulary assessment."
